2021-09-20 18:26:49 DEBUG Config - Config.get(helper, seed) = null
2021-09-22 19:34:35 INFO  Benchmark_Timer - Begin run: testWaitPeriods with 2 runs
2021-09-22 20:02:40 INFO  Benchmark_Timer - Begin run: testWaitPeriods with 2 runs
2021-09-22 21:11:41 INFO  Benchmark_Timer - Begin run: testWaitPeriods with 2 runs
2021-09-23 00:35:04 INFO  Benchmark_Timer - Begin run: testWaitPeriods with 2 runs
2021-09-24 14:08:52 DEBUG Config - Config.get(helper, instrument) = true
2021-09-24 14:08:52 DEBUG Config - Config.get(helper, seed) = 0
2021-09-24 14:08:52 DEBUG Config - Config.get(instrumenting, copies) = true
2021-09-24 14:08:52 DEBUG Config - Config.get(instrumenting, swaps) = true
2021-09-24 14:08:52 DEBUG Config - Config.get(instrumenting, compares) = true
2021-09-24 14:08:52 DEBUG Config - Config.get(instrumenting, inversions) = 1
2021-09-24 14:08:52 DEBUG Config - Config.get(instrumenting, fixes) = true
2021-09-24 14:08:52 DEBUG Config - Config.get(instrumenting, hits) = true
2021-09-24 14:08:52 DEBUG Config - Config.get(helper, cutoff) = 
2021-09-24 14:15:02 DEBUG Config - Config.get(helper, instrument) = true
2021-09-24 14:15:02 DEBUG Config - Config.get(helper, seed) = 0
2021-09-24 14:15:02 DEBUG Config - Config.get(instrumenting, copies) = true
2021-09-24 14:15:02 DEBUG Config - Config.get(instrumenting, swaps) = true
2021-09-24 14:15:02 DEBUG Config - Config.get(instrumenting, compares) = true
2021-09-24 14:15:02 DEBUG Config - Config.get(instrumenting, inversions) = 1
2021-09-24 14:15:02 DEBUG Config - Config.get(instrumenting, fixes) = true
2021-09-24 14:15:02 DEBUG Config - Config.get(instrumenting, hits) = true
2021-09-24 14:15:02 DEBUG Config - Config.get(helper, cutoff) = 
2021-09-24 14:35:33 DEBUG Config - Config.get(helper, instrument) = true
2021-09-24 14:35:33 DEBUG Config - Config.get(helper, seed) = 0
2021-09-24 14:35:33 DEBUG Config - Config.get(instrumenting, copies) = true
2021-09-24 14:35:33 DEBUG Config - Config.get(instrumenting, swaps) = true
2021-09-24 14:35:33 DEBUG Config - Config.get(instrumenting, compares) = true
2021-09-24 14:35:33 DEBUG Config - Config.get(instrumenting, inversions) = 1
2021-09-24 14:35:33 DEBUG Config - Config.get(instrumenting, fixes) = true
2021-09-24 14:35:33 DEBUG Config - Config.get(instrumenting, hits) = true
2021-09-24 14:35:33 DEBUG Config - Config.get(helper, cutoff) = 
2021-09-24 14:41:31 DEBUG Config - Config.get(helper, instrument) = true
2021-09-24 14:41:31 DEBUG Config - Config.get(helper, seed) = 0
2021-09-24 14:41:31 DEBUG Config - Config.get(instrumenting, copies) = true
2021-09-24 14:41:31 DEBUG Config - Config.get(instrumenting, swaps) = true
2021-09-24 14:41:31 DEBUG Config - Config.get(instrumenting, compares) = true
2021-09-24 14:41:31 DEBUG Config - Config.get(instrumenting, inversions) = 1
2021-09-24 14:41:31 DEBUG Config - Config.get(instrumenting, fixes) = true
2021-09-24 14:41:31 DEBUG Config - Config.get(instrumenting, hits) = true
2021-09-24 14:41:31 DEBUG Config - Config.get(helper, cutoff) = 
2021-09-24 14:42:06 DEBUG Config - Config.get(helper, instrument) = true
2021-09-24 14:42:06 DEBUG Config - Config.get(helper, seed) = 0
2021-09-24 14:42:06 DEBUG Config - Config.get(instrumenting, copies) = true
2021-09-24 14:42:06 DEBUG Config - Config.get(instrumenting, swaps) = true
2021-09-24 14:42:06 DEBUG Config - Config.get(instrumenting, compares) = true
2021-09-24 14:42:06 DEBUG Config - Config.get(instrumenting, inversions) = 1
2021-09-24 14:42:06 DEBUG Config - Config.get(instrumenting, fixes) = true
2021-09-24 14:42:06 DEBUG Config - Config.get(instrumenting, hits) = true
2021-09-24 14:42:06 DEBUG Config - Config.get(helper, cutoff) = 
2021-09-24 14:55:07 DEBUG Config - Config.get(helper, instrument) = true
2021-09-24 14:55:07 DEBUG Config - Config.get(helper, seed) = 0
2021-09-24 14:55:07 DEBUG Config - Config.get(instrumenting, copies) = true
2021-09-24 14:55:07 DEBUG Config - Config.get(instrumenting, swaps) = true
2021-09-24 14:55:07 DEBUG Config - Config.get(instrumenting, compares) = true
2021-09-24 14:55:07 DEBUG Config - Config.get(instrumenting, inversions) = 1
2021-09-24 14:55:07 DEBUG Config - Config.get(instrumenting, fixes) = true
2021-09-24 14:55:07 DEBUG Config - Config.get(instrumenting, hits) = true
2021-09-24 14:55:07 DEBUG Config - Config.get(helper, cutoff) = 
2021-09-24 14:55:52 DEBUG Config - Config.get(helper, instrument) = true
2021-09-24 14:55:52 DEBUG Config - Config.get(helper, seed) = 0
2021-09-24 14:55:52 DEBUG Config - Config.get(instrumenting, copies) = true
2021-09-24 14:55:52 DEBUG Config - Config.get(instrumenting, swaps) = true
2021-09-24 14:55:52 DEBUG Config - Config.get(instrumenting, compares) = true
2021-09-24 14:55:52 DEBUG Config - Config.get(instrumenting, inversions) = 1
